sido,sigungu,doro,address,crosswalk_id,crosswalk_type,highland,roadnum,crosswalk_width,crosswalk_length,signal,button,sound_signal,bump,braille_block,spotlight,org_code
전북특별자치도,군산시,내항2길,전북특별자치도 군산시 장미동 22-1,군산시-00148,1,0,4,3.0,23.0,1,0,0,1,1,0,4671000
전북특별자치도,군산시,해망로,전북특별자치도 군산시 장미동 22-1,군산시-00157,1,0,2,3.0,9.0,1,0,0,1,1,0,4671000
전북특별자치도,군산시,해망로,전북특별자치도 군산시 장미동 22-1,군산시-00158,1,0,2,3.0,9.0,1,0,0,1,1,0,4671000
전북특별자치도,군산시,궁멀길,전북특별자치도 군산시 내흥동 863-77,군산시-00161,4,0,2,3.0,6.0,1,0,0,1,1,0,4671000
전북특별자치도,군산시,계남1길,전북특별자치도 군산시 임피면 축산리 634-1,군산시-00121,4,0,2,4.0,9.0,1,0,0,1,1,0,4671000
전북특별자치도,군산시,동군산로,전북특별자치도 군산시 임피면 축산리 172-1,군산시-00092,4,0,2,3.0,20.0,1,0,0,1,1,0,4671000
전북특별자치도,군산시,해망로,전북특별자치도 군산시 장미동 22-1,군산시-00109,1,0,2,3.0,11.0,1,0,0,1,1,0,4671000
대전광역시,대덕구,대덕대로1486번길,대전광역시 대덕구 목상동 853,1356,1,1,2,5.0,6.8,1,0,0,1,1,0,6300000
대전광역시,대덕구,대덕대로1486번길,대전광역시 대덕구 목상동 853,1370,1,1,2,4.2,6.0,1,0,0,1,1,0,6300000
대전광역시,대덕구,신일동로,대전광역시 대덕구 문평동 1704,1371,1,0,8,8.1,24.1,1,0,0,1,1,0,6300000
대전광역시,대덕구,대덕대로,대전광역시 대덕구 문평동 1702,1372,1,0,9,8.2,37.7,1,0,0,1,1,0,6300000
전북특별자치도,군산시,금강로,전북특별자치도 군산시 성산면 성덕리 438-41,군산시-00068,4,0,2,4.0,9.0,1,0,0,1,0,0,4671000
전북특별자치도,군산시,강변로,전북특별자치도 군산시 성산면 성덕리 471-17,군산시-00070,4,0,5,6.0,21.0,1,0,0,1,0,0,4671000
전북특별자치도,군산시,강변로,전북특별자치도 군산시 내흥동 320-12,군산시-00078,1,0,6,8.0,25.0,1,0,0,1,0,0,4671000
전북특별자치도,군산시,강변로,전북특별자치도 군산시 내흥동 287-11,군산시-00084,1,1,3,2.0,9.0,1,0,0,1,1,0,4671000
전북특별자치도,군산시,중앙로,전북특별자치도 군산시 해망동 1000-2,군산시-00087,1,0,1,2.0,9.0,1,0,0,1,1,0,4671000
전북특별자치도,군산시,군산창길,전북특별자치도 군산시 금동 55-12,군산시-00088,4,0,2,4.0,7.0,1,0,0,1,1,0,4671000
전북특별자치도,군산시,군산창길,전북특별자치도 군산시 금동 55-12,군산시-00089,1,0,2,4.0,14.0,1,0,0,1,1,0,4671000
경기도,포천시,영북로,경기도 포천시 영북면 운천리 334-18,31270-CW-00568,1,0,7,6.1,24.6,1,0,0,1,1,1,5600000
경기도,포천시,호국로,경기도 포천시 영중면 금주리 899-1,31270-CW-00571,1,0,6,8.0,24.5,1,0,1,0,0,1,5600000
경기도,포천시,호국로,경기도 포천시 신북면 만세교리 251-5,31270-CW-00574,1,0,5,8.4,18.0,1,0,0,0,0,1,5600000
경기도,포천시,호국로,경기도 포천시 신북면 만세교리 264-6,31270-CW-00576,4,0,4,6.1,18.8,1,0,1,1,1,1,5600000
경기도,포천시,호국로,경기도 포천시 신북면 만세교리 364-1,31270-CW-00578,4,0,3,4.9,12.0,1,0,1,1,1,1,5600000
